# The mean-synaptic-current when eta=0.005
# col: Ne/Ni = 0.11, 0.25, ... , 4, 9
# row: Wi/We = 0.11, 0.25, 0.43, ... , 2.33, 4, 9
-0.0	0.09	0.18	0.28	0.37	0.46	0.56	0.65	0.74
-0.01	-0.	0.1	0.2	0.23	0.31	0.41	0.57	0.65
-0.01	-0.01	-0.01	0.1	0.23	0.35	0.47	0.59	0.71
-0.02	-0.01	-0.01	-0.02	0.12	0.27	0.41	0.55	0.69
-0.03	-0.02	-0.02	0.02	-0.05	-0.05	0.32	0.49	0.66
-0.04	-0.04	-0.03	-0.03	-0.04	-0.06	0.19	0.4	0.62
-0.07	-0.06	-0.05	-0.05	-0.05	-0.05	-0.08	0.26	0.55
-0.12	-0.1	-0.09	-0.09	-0.08	-0.08	-0.09	-0.11	0.4
-0.12	-0.24	-0.22	-0.2	-0.2	-0.18	-0.17	-0.18	-0.12













