# The mean-synaptic-current when eta=0.05
# col: Ne/Ni = 0.11, 0.25, ... , 4, 9
# row: Wi/We = 0.11, 0.25, 0.43, ... , 2.33, 4, 9
-0.01	0.09	0.18	0.28	0.37	0.46	0.55	0.65	0.74
-0.04	-0.01	0.1	0.2	0.31	0.41	0.49	0.57	0.65
-0.08	-0.05	-0.02	0.04	0.23	0.35	0.47	0.59	0.71
-0.14	-0.1	-0.06	-0.03	0.04	0.27	0.41	0.55	0.69
-0.21	-0.17	-0.12	-0.08	-0.05	0.05	0.32	0.49	0.66
-0.33	-0.27	-0.21	-0.15	-0.1	-0.06	0.08	0.41	0.62
-0.52	-0.44	-0.36	-0.28	-0.2	-0.13	-0.08	0.26	0.55
-0.91	-0.79	-0.66	-0.54	-0.42	-0.29	-0.18	-0.11	0.4
-2.1	-1.82	-1.58	-1.32	-1.07	-0.81	-0.56	-0.33	-0.13











