# The mean-synaptic-energy when eta=0.05
# col: Ne/Ni = 0.11, 0.25, ... , 4, 9
# row: Wi/We = 0.11, 0.25, 0.43, ... , 2.33, 4, 9
0.29	0.87	0.86	0.86	0.85	0.85	0.85	0.84	0.84
0.26	0.32	0.86	0.86	0.85	0.85	0.85	0.84	0.84
0.25	0.25	0.33	0.79	0.85	0.85	0.85	0.84	0.84
0.25	0.25	0.24	0.35	0.77	0.85	0.85	0.84	0.84
0.25	0.25	0.24	0.24	0.38	0.75	0.85	0.85	0.84
0.25	0.25	0.24	0.24	0.23	0.4	0.73	0.84	0.84
0.25	0.25	0.24	0.24	0.23	0.23	0.46	0.84	0.84
0.25	0.25	0.24	0.23	0.23	0.22	0.23	0.49	0.84
0.25	0.25	0.24	0.24	0.24	0.23	0.22	0.22	0.5








